Source,Target,Type,Id,Label,Weight
21,37,Undirected,625,,2
59,31,Undirected,626,,1
60,4,Undirected,627,,2
4,61,Undirected,628,,1
55,1,Undirected,629,,1
17,60,Undirected,630,,1
60,29,Undirected,631,,1
60,31,Undirected,632,,1
33,62,Undirected,633,,2
33,0,Undirected,634,,1
21,31,Undirected,635,,1
63,8,Undirected,636,,7
21,62,Undirected,637,,1
65,64,Undirected,638,,2
66,65,Undirected,639,,2
66,64,Undirected,640,,4
63,67,Undirected,641,,2
48,64,Undirected,642,,3
64,47,Undirected,643,,3
21,64,Undirected,644,,29
21,67,Undirected,645,,49
67,64,Undirected,646,,26
48,67,Undirected,647,,1
64,4,Undirected,648,,22
67,4,Undirected,649,,1
68,69,Undirected,650,,2
63,68,Undirected,651,,1
63,69,Undirected,652,,7
70,4,Undirected,653,,10
70,64,Undirected,654,,43
27,70,Undirected,655,,1
70,26,Undirected,656,,1
21,70,Undirected,657,,54
67,68,Undirected,658,,1
67,69,Undirected,659,,1
70,67,Undirected,660,,69
63,4,Undirected,661,,1
71,72,Undirected,662,,1
71,73,Undirected,663,,1
71,64,Undirected,664,,1
72,73,Undirected,665,,1
72,64,Undirected,666,,1
64,73,Undirected,667,,4
66,67,Undirected,668,,1
67,74,Undirected,669,,1
64,74,Undirected,670,,3
66,74,Undirected,671,,3
66,21,Undirected,672,,1
21,74,Undirected,673,,1
74,73,Undirected,674,,3
72,74,Undirected,675,,1
66,73,Undirected,676,,2
74,75,Undirected,677,,1
66,72,Undirected,678,,1
64,75,Undirected,679,,1
70,77,Undirected,680,,3
67,77,Undirected,681,,4
21,78,Undirected,682,,1
70,79,Undirected,683,,1
21,77,Undirected,684,,1
81,80,Undirected,685,,2
63,80,Undirected,686,,8
63,81,Undirected,687,,2
78,67,Undirected,688,,1
82,64,Undirected,689,,3
83,73,Undirected,690,,2
64,79,Undirected,691,,1
63,84,Undirected,692,,1
84,80,Undirected,693,,1
64,31,Undirected,694,,6
45,80,Undirected,695,,1
45,63,Undirected,696,,3
70,85,Undirected,697,,12
85,67,Undirected,698,,12
21,85,Undirected,699,,8
63,85,Undirected,700,,4
63,70,Undirected,701,,2
45,85,Undirected,702,,2
45,21,Undirected,703,,1
21,63,Undirected,704,,1
45,70,Undirected,705,,1
45,67,Undirected,706,,1
63,64,Undirected,707,,7
85,64,Undirected,708,,6
63,86,Undirected,709,,1
87,21,Undirected,710,,2
21,26,Undirected,711,,3
26,64,Undirected,712,,2
88,26,Undirected,713,,1
88,21,Undirected,714,,2
88,70,Undirected,715,,1
88,67,Undirected,716,,1
87,64,Undirected,717,,1
87,26,Undirected,718,,1
70,57,Undirected,719,,1
89,70,Undirected,720,,2
85,57,Undirected,721,,1
89,85,Undirected,722,,5
89,57,Undirected,723,,1
21,57,Undirected,724,,1
67,57,Undirected,725,,1
64,57,Undirected,726,,1
89,21,Undirected,727,,2
